Do you consent to participate in this academic survey?,What type of residence do you currently live in?,"Does your building society currently have a rooftop solar panel system installed to power common areas (lifts, water pumps, staircase lights)?",What is your household's average monthly electricity bill?,Can you upload your last electricity bill? (Optional),What do you think is the primary reason your housing society has NOT installed solar panels for common areas?,"Are you aware of the government's ""PM Surya Ghar: Muft Bijli Yojana"" which provides subsidies of up to ₹78,000 for residential solar installations?",Would you be willing to sign a petition urging your housing society to install a shared solar system to reduce monthly maintenance charges?,Do you currently have a rooftop solar panel system installed at your residence?,What is your average monthly electricity bill?,Electricity bill (Optional),What is the primary reason you have NOT installed solar panels?,"Are you aware of the government's ""PM Surya Ghar: Muft Bijli Yojana"" which provides subsidies of up to ₹78,000 for residential solar installations?","If a cost-benefit analysis proved that a solar system would pay for itself in 3-4 years through zero electricity bills, would you consider installing one?"
Yes,Independent House / Bungalow / Row House,,,,,,,No,"₹1,500 - ₹3,000",,High upfront installation cost,"I have heard of it, but don't know the details","Maybe, I would need to see the exact math for my house"
Yes,Flat / Apartment in a Cooperative Housing Society (CHS),No,"Below ₹1,500",,In process,"Yes, fully aware","Yes, definitely",,,,,,
Yes,Flat / Apartment in a Cooperative Housing Society (CHS),Yes,,,,,,,,,,,
Yes,Independent House / Bungalow / Row House,,,,,,,Yes,,,,,
Yes,Flat / Apartment in a Cooperative Housing Society (CHS),No,"Below ₹1,500",,Lack of physical space / No private roof access,"I have heard of it, but don't know the details","Maybe, if the cost is justified",,,,,,
Yes,Flat / Apartment in a Cooperative Housing Society (CHS),Yes,,,,,,,,,,,
Yes,Flat / Apartment in a Cooperative Housing Society (CHS),No,"Below ₹1,500",,Society committee/landlord objections,"I have heard of it, but don't know the details","Yes, definitely",,,,,,
Yes,Flat / Apartment in a Cooperative Housing Society (CHS),Yes,,,,,,,,,,,
Yes,Independent House / Bungalow / Row House,,,,,,,No,"₹1,500 - ₹3,000",,High upfront installation cost,"I have heard of it, but don't know the details","Maybe, I would need to see the exact math for my house"
Yes,Independent House / Bungalow / Row House,,,,,,,Yes,,,,,
Yes,Flat / Apartment in a Cooperative Housing Society (CHS),No,"₹3,001 - ₹5,000",https://drive.google.com/open?id=1FSRZdyhBkPe9bjWVPZIeS_O9sQY3-QpH,Lack of awareness about the process and benefits,"I have heard of it, but don't know the details","Yes, definitely",,,,,,
Yes,Flat / Apartment in a Cooperative Housing Society (CHS),No,"₹1,500 - ₹3,000",,High upfront installation cost,"I have heard of it, but don't know the details","Yes, definitely",,,,,,
Yes,Independent House / Bungalow / Row House,,,,,,,No,"₹3,001 - ₹5,000",,Lack of awareness about the installation process and vendors,"No, I was not aware","Maybe, I would need to see the exact math for my house"
